URL ID, Advert Type, Address, Weekly Cost, BubbleOutdoor ID,Full Address
1,Static 6-sheet,Fford Newydd At Conway Rd Llandudno Junction Lland,£134,BOUK5436637,"Conway Rd, Llandudno Junction LL31 9BA, UK"
2,Static 6-sheet,Fford Newydd At Conway Rd Llandudno Junction Lland,£134,BOUK5436638,"Conway Rd, Llandudno Junction LL31 9BA, UK"
3,Static 6-sheet,Gloddaeth St / Deganwy Ave Town Centre Llandudno,£134,BOUK5436639,"Gloddaeth St & Deganwy Ave, Llandudno LL30 2DW, UK"
4,Static 6-sheet,Gloddaeth St / Deganwy Ave Town Centre Llandudno,£134,BOUK5436640,"Gloddaeth St & Deganwy Ave, Llandudno LL30 2DW, UK"
5,Static 6-sheet,Mostyn Broadway Opp Next Town Centre Llandudno,£134,BOUK5436654,"Mostyn Broadway, Llandudno LL30, UK"
6,Static 6-sheet,Mostyn Ave / Queens Rd o/s 14 Town Centre Llandudn,£134,BOUK5436655,"Llandudno, UK"
7,Static 6-sheet,Mostyn Ave / Queens Rd o/s 14 Town Centre Llandudn,£134,BOUK5436656,"Llandudno, UK"
8,Static 6-sheet,Bryniau Rd / Bryniau Place West Shore Llandudno,£134,BOUK5436671,"Dale Rd, Llandudno LL30 2BG, UK"
9,Static 6-sheet,Bryniau Rd / Bryniau Place West Shore Llandudno,£134,BOUK5436672,"Dale Rd, Llandudno LL30 2BG, UK"
10,Static 6-sheet,Station Rd At Marine Cres Deganwy Llandudno,£134,BOUK5436673,"Station Rd, Deganwy, Conwy LL31 9DA, UK"
11,Static 6-sheet,Station Rd At Marine Cres Deganwy Llandudno,£134,BOUK5436674,"Station Rd, Deganwy, Conwy LL31 9DA, UK"
12,Static 6-sheet,Gloddaeth St o/s The Palladium Town Centre Llandud,£134,BOUK5454007,"7 Gloddaeth St, Llandudno LL30 2DD, UK"
13,Static 6-sheet,Gloddaeth St o/s The Palladium Town Centre Llandud,£134,BOUK5454008,"7 Gloddaeth St, Llandudno LL30 2DD, UK"
14,Static 6-sheet,Gloddaeth Ave /Salisbury Court Town Centre Llandud,£134,BOUK5454009,"Salisbury Ct & Gloddaeth Ave, Llandudno LL30 2SE, UK"
15,Static 6-sheet,Gloddaeth Ave /Salisbury Court Town Centre Llandud,£134,BOUK5454010,"Salisbury Ct & Gloddaeth Ave, Llandudno LL30 2SE, UK"
16,Static 6-sheet,Mostyn St / Trinity Sq Town Centre Llandudno,£134,BOUK5454015,"Trinity Square & Mostyn St, Llandudno LL30 2NL, UK"
17,Static 6-sheet,Mostyn St / Trinity Sq Town Centre Llandudno,£134,BOUK5454016,"Trinity Square & Mostyn St, Llandudno LL30 2NL, UK"
18,Static 6-sheet,Mostyn St / Vaughan St Town Centre Llandudno,£134,BOUK5454017,"Vaughan St & Mostyn St, Llandudno LL30 1AH, UK"
19,Static 6-sheet,Mostyn St / Vaughan St Town Centre Llandudno,£134,BOUK5454018,"Vaughan St & Mostyn St, Llandudno LL30 1AH, UK"
20,Static 6-sheet,Mostyn Broadway o/s Hanover Ct Craig -Y-Don Llandu,£134,BOUK5472011,"Connecticut, USA"
21,Static 6-sheet,Mostyn Broadway o/s Hanover Ct Craig -Y-Don Llandu,£134,BOUK5472012,"Connecticut, USA"
22,Static 6-sheet,Mostyn Broadway Opp Next Town Centre Llandudno,£134,BOUK5473958,"Mostyn Broadway, Llandudno LL30, UK"
23,Static 6-sheet,"Mostyn Broadway O/S Nth Wales Theatre,Llandudno",£134,BOUK5474052,"The Promenade, Penrhyn Cres, Llandudno LL30 1BB, UK"
24,Static 6-sheet,"Mostyn Broadway O/S Nth Wales Theatre,Llandudno",£134,BOUK5474053,"The Promenade, Penrhyn Cres, Llandudno LL30 1BB, UK"
25,Static 6-sheet,Mostyn Broadway o/s B &amp; Q Town Centre Llandudno,£134,BOUK5474187,"Mostyn Broadway, Llandudno LL30 1RT, UK"
